ID	CLPA	PBASE	TYPE	PLACE	MANNER	VOICE	MODIFICATIONS
1	n̟	n̟	consonant	advanced_alveolar	nasal	voiced	plain
2	n̟ʲ	n̟ʲ	consonant	advanced_alveolar	nasal	voiced	palatalized
3	r̟	r̟	consonant	advanced_alveolar	trill	voiced	plain
4	r̟ʲ	r̟ʲ	consonant	advanced_alveolar	trill	voiced	palatalized
5	l̟ʲ	l̟ʲ	consonant	advanced_lateral	lateral_approximant	voiced	palatalized
6	l̟	l̟	consonant	advanced_lateral	lateral_approximant	voiced	plain
7	ⁿts	ⁿts	consonant	alveolar	affricate	voiceless	prenasalized
8	tzˀ	tzʼ	consonant	alveolar	affricate	voiceless_to_voiced	glottalized
9	ts̀	ts̀	consonant	alveolar	affricate	voiceless	tense
10	tsʰʷ	tswʰ,tsʰʷ	consonant	alveolar	affricate	voiceless	aspirated_labialized
11	dzʰ	dzʰ	consonant	alveolar	affricate	voiced	aspirated
12	ⁿtsˀ	ⁿtsʼ	consonant	alveolar	affricate	voiceless	glottalized_prenasalized
13	tsʰ	tsʰ	consonant	alveolar	affricate	voiceless	aspirated
14	dzʲ	dzʲ	consonant	alveolar	affricate	voiced	palatalized
15	ts	ts	consonant	alveolar	affricate	voiceless	plain
16	tsˀ	tsʼ	consonant	alveolar	affricate	voiceless	glottalized
17	tsjʰ	tsjʰ	consonant	alveolar	affricate	voiceless	aspirated_palatalized
18	tz	tz	consonant	alveolar	affricate	voiceless_to_voiced	plain
19	dzʷ	dzʷ	consonant	alveolar	affricate	voiced	labialized
20	dz	dz	consonant	alveolar	affricate	voiced	plain
21	ᵐts	ts	consonant	alveolar	affricate	voiceless	labial_prenasalized
21	ᵐts	ts	consonant	alveolar	affricate	voiceless	labial_prenasalized
23	tsˀʷ	tsʼʷ	consonant	alveolar	affricate	voiceless	glottalized_labialized
24	dzˀ	dzʼ	consonant	alveolar	affricate	voiced	glottalized
25	tsʲ	tsʲ	consonant	alveolar	affricate	voiceless	palatalized
26	tːs		consonant	alveolar	affricate	voiceless_long	plain
27	ⁿdz	ⁿdz	consonant	alveolar	affricate	voiced	prenasalized
28	ᵐdz	dz	consonant	alveolar	affricate	voiced	labial_prenasalized
29	tsʷ	tsʷ	consonant	alveolar	affricate	voiceless	labialized
30	ɹː	ɹː	consonant	alveolar	approximant	voiced_long	plain
31	ɹ	ɹ	consonant	alveolar	approximant	voiced	plain
32	nkǃ	nkǃ	consonant	alveolar	click	voiceless	alveolar_prenasalized
33	gǃ	ɡǃ	consonant	alveolar	click	voiced	plain
34	ǃ	ǃ	consonant	alveolar	click	voiceless	plain
35	ǃʔ	ǃʔ	consonant	alveolar	click	voiceless	glottalized
36	ǃx	ǃx	consonant	alveolar	click	voiceless	x_accompaniment
37	ǃqʰ	ǃqʰ	consonant	alveolar	click	voiceless	aspirated_q_accompaniment
38	ǃkxʔ	ǃkxʔ	consonant	alveolar	click	voiceless	glottalized_kx_accompaniment
39	gǃkx	ɡǃkx	consonant	alveolar	click	voiced	kx_accompaniment
40	ǃq	ǃq	consonant	alveolar	click	voiceless	q_accompaniment
41	gǃʰ	ɡǃʰ	consonant	alveolar	click	voiced	aspirated
42	ʔʘn	ʔʘn	consonant	alveolar	click	voiceless	glottalized_prenasalized
43	ǃr	ǃr	consonant	alveolar	click	voiceless	r_accompaniment
44	lǃ	lǃ	consonant	alveolar	click	voiced	l_accompaniment
45	ǃt	ǃt	consonant	alveolar	click	voiceless	t_accompaniment
46	ǃʰ	ǃʰ	consonant	alveolar	click	voiceless	aspirated
47	ǃʃ	ǃʃ	consonant	alveolar	click	voiceless	S_accompaniment
48	ⁿǃ	nǃ	consonant	alveolar	click	voiceless	prenasalized
49	ǃⁿ̥	ǃn̥	consonant	alveolar	click	voiceless	voiceless_nasalized
50	gǃx	ɡǃx	consonant	alveolar	click	voiced	x_accompaniment
51	mǃG	mǃG	consonant	alveolar	click	voiceless	labial_prenasalized_G_accompaniment
52	ǃqʔ	ǃqʔ	consonant	alveolar	click	voiceless	glottalized_q_accompaniment
53	ʔǃn	ʔǃn	consonant	alveolar	click	voiceless	nasalized_preglottalized
54	ǃs	ǃs	consonant	alveolar	click	voiceless	s_accompaniment
55	ǃn	ǃn	consonant	alveolar	click	voiceless	nasalized
56	ǃd	ǃd	consonant	alveolar	click	voiceless	d_accompaniment
57	ⁿgǃ	nɡǃ	consonant	alveolar	click	voiced	prenasalized
58	ǃʒ	ǃʒ	consonant	alveolar	click	voiceless	Z_accompaniment
59	ǃz	ǃz	consonant	alveolar	click	voiceless	z_accompaniment
60	tʼ	t',tʼ	consonant	alveolar	ejective	voiceless	plain
61	tʼʷ	tʼʷ	consonant	alveolar	ejective	voiceless	labialized
62	dʼ	dʼ	consonant	alveolar	ejective	voiced	plain
63	ɾʲ	ɾʲ	consonant	alveolar	flap	voiced	palatalized
64	ɾˤ	ɾˤ	consonant	alveolar	flap	voiced	pharyngealized
65	ɾ	ɾ	consonant	alveolar	flap	voiced	plain
66	ɾ̃	ɾ̃	consonant	alveolar	flap	voiced	nasalized
67	ⁿz	ⁿz	consonant	alveolar	fricative	voiced	prenasalized
68	s̀	s̀	consonant	alveolar	fricative	voiceless	tense
69	š	š	consonant	alveolar	fricative	voiceless	trilled
70	sʰ	sʰ	consonant	alveolar	fricative	voiceless	aspirated
71	sː	sː	consonant	alveolar	fricative	voiceless_long	plain
72	zʰ		consonant	alveolar	fricative	voiced	aspirated
73	nzʷ	nzʷ	consonant	alveolar	fricative	voiced	labialized_prenasalized
74	ʃˀʷ	ʃʼʷ	consonant	alveolar	fricative	voiceless	glottalized_labialized
75	sˀ	sʼ	consonant	alveolar	fricative	voiceless	glottalized
76	z̤	z̤	consonant	alveolar	fricative	breathy	plain
77	sˠ	sˠ	consonant	alveolar	fricative	voiceless	velarized
78	sʷ	sʷ	consonant	alveolar	fricative	voiceless	labialized
