ID	IPA	TYPE	PLACE	MANNER	MISCA	MISCB
1	n̟	consonant	advanced_alveolar	nasal	voiced	plain
2	n̟ʲ	consonant	advanced_alveolar	nasal	voiced	palatalized
3	r̟	consonant	advanced_alveolar	trill	voiced	plain
4	r̟ʲ	consonant	advanced_alveolar	trill	voiced	palatalized
5	l̟ʲ	consonant	advanced_lateral	lateral_approximant	voiced	palatalized
6	l̟	consonant	advanced_lateral	lateral_approximant	voiced	plain
7	ⁿts	consonant	alveolar	affricate	voiceless	prenasalized
8	tzʼ	consonant	alveolar	affricate	voiceless_to_voiced	glottalized
9	ts̀	consonant	alveolar	affricate	voiceless	tense
10	tsʰʷ	consonant	alveolar	affricate	voiceless	aspirated_labialized
11	dzʰ	consonant	alveolar	affricate	voiced	aspirated
12	ⁿtsʼ	consonant	alveolar	affricate	voiceless	glottalized_prenasalized
13	tsʰ	consonant	alveolar	affricate	voiceless	aspirated
14	dzʲ	consonant	alveolar	affricate	voiced	palatalized
15	ts	consonant	alveolar	affricate	voiceless	plain
16	tsʼ	consonant	alveolar	affricate	voiceless	glottalized
17	tsjʰ	consonant	alveolar	affricate	voiceless	aspirated_palatalized
18	tz	consonant	alveolar	affricate	voiceless_to_voiced	plain
19	dzʷ	consonant	alveolar	affricate	voiced	labialized
20	dz	consonant	alveolar	affricate	voiced	plain
21	ᵐts	consonant	alveolar	affricate	voiceless	labial_prenasalized
22	tswʰ	consonant	alveolar	affricate	voiceless	aspirated_labialized
23	tsʼʷ	consonant	alveolar	affricate	voiceless	glottalized_labialized
24	dzʼ	consonant	alveolar	affricate	voiced	glottalized
25	tsʲ	consonant	alveolar	affricate	voiceless	palatalized
26	tːs	consonant	alveolar	affricate	voiceless_long	plain
27	ⁿdz	consonant	alveolar	affricate	voiced	prenasalized
28	ᵐdz	consonant	alveolar	affricate	voiced	labial_prenasalized
29	tsʷ	consonant	alveolar	affricate	voiceless	labialized
30	ɹː	consonant	alveolar	approximant	voiced_long	plain
31	ɹ	consonant	alveolar	approximant	voiced	plain
32	nkǃ	consonant	alveolar	click	voiceless	alveolar_prenasalized
33	ɡǃ	consonant	alveolar	click	voiced	plain
34	ǃ	consonant	alveolar	click	voiceless	plain
35	ǃʔ	consonant	alveolar	click	voiceless	glottalized
36	ǃx	consonant	alveolar	click	voiceless	x_accompaniment
37	ǃqʰ	consonant	alveolar	click	voiceless	aspirated_q_accompaniment
38	ǃkxʔ	consonant	alveolar	click	voiceless	glottalized_kx_accompaniment
39	ɡǃkx	consonant	alveolar	click	voiced	kx_accompaniment
40	ǃq	consonant	alveolar	click	voiceless	q_accompaniment
41	ɡǃʰ	consonant	alveolar	click	voiced	aspirated
42	ʔʘn	consonant	alveolar	click	voiceless	glottalized_prenasalized
43	ǃr	consonant	alveolar	click	voiceless	r_accompaniment
44	lǃ	consonant	alveolar	click	voiced	l_accompaniment
45	ǃt	consonant	alveolar	click	voiceless	t_accompaniment
46	ǃʰ	consonant	alveolar	click	voiceless	aspirated
47	ǃʃ	consonant	alveolar	click	voiceless	S_accompaniment
48	nǃ	consonant	alveolar	click	voiceless	prenasalized
49	ǃn̥	consonant	alveolar	click	voiceless	voiceless_nasalized
50	ɡǃx	consonant	alveolar	click	voiced	x_accompaniment
51	mǃG	consonant	alveolar	click	voiceless	labial_prenasalized_G_accompaniment
52	ǃqʔ	consonant	alveolar	click	voiceless	glottalized_q_accompaniment
53	ʔǃn	consonant	alveolar	click	voiceless	nasalized_preglottalized
54	ǃs	consonant	alveolar	click	voiceless	s_accompaniment
55	ǃn	consonant	alveolar	click	voiceless	nasalized
56	ǃd	consonant	alveolar	click	voiceless	d_accompaniment
57	nɡǃ	consonant	alveolar	click	voiced	prenasalized
58	ǃʒ	consonant	alveolar	click	voiceless	Z_accompaniment
59	ǃz	consonant	alveolar	click	voiceless	z_accompaniment
60	tʼ	consonant	alveolar	ejective	voiceless	plain
61	t'	consonant	alveolar	ejective	voiceless	plain
62	tʼʷ	consonant	alveolar	ejective	voiceless	labialized
63	dʼ	consonant	alveolar	ejective	voiced	plain
64	ɾʲ	consonant	alveolar	flap	voiced	palatalized
65	ɾˤ	consonant	alveolar	flap	voiced	pharyngealized
66	ɾ	consonant	alveolar	flap	voiced	plain
67	ɾ̃	consonant	alveolar	flap	voiced	nasalized
68	ⁿz	consonant	alveolar	fricative	voiced	prenasalized
69	s̀	consonant	alveolar	fricative	voiceless	tense
70	š	consonant	alveolar	fricative	voiceless	trilled
71	sʰ	consonant	alveolar	fricative	voiceless	aspirated
72	sː	consonant	alveolar	fricative	voiceless_long	plain
73	zʰ	consonant	alveolar	fricative	voiced	aspirated
74	nzʷ	consonant	alveolar	fricative	voiced	labialized_prenasalized
75	ʃʼʷ	consonant	alveolar	fricative	voiceless	glottalized_labialized
76	sʼ	consonant	alveolar	fricative	voiceless	glottalized
77	z̤	consonant	alveolar	fricative	breathy	plain
78	sˠ	consonant	alveolar	fricative	voiceless	velarized
79	sʷ	consonant	alveolar	fricative	voiceless	labialized
80	z	consonant	alveolar	fricative	voiced	plain
81	zʷ	consonant	alveolar	fricative	voiced	labialized
82	sɥ	consonant	alveolar	fricative	voiceless	labiopalatalized
83	zˤ	consonant	alveolar	fricative	voiced	pharyngealized
84	zʲ	consonant	alveolar	fricative	voiced	palatalized
85	n̥s	consonant	alveolar	fricative	voiceless	voiceless_prenasalized
86	sˤ	consonant	alveolar	fricative	voiceless	pharyngealized
87	ⁿs	consonant	alveolar	fricative	voiceless	prenasalized
88	zʼ	consonant	alveolar	fricative	voiced	glottalized
89	s	consonant	alveolar	fricative	voiceless	plain
90	sʲ	consonant	alveolar	fricative	voiceless	palatalized
91	ɗʷ	consonant	alveolar	implosive	voiced	labialized
92	ɗ̥	consonant	alveolar	implosive	voiced	devoiced
93	ɗ	consonant	alveolar	implosive	voiced	plain
94	n̏	consonant	alveolar	nasal	voiced	heavy
95	n̥	consonant	alveolar	nasal	voiceless	plain
96	n’	consonant	alveolar	nasal	voiced	glottalized
97	n̩	consonant	alveolar	nasal	voiced	syllabic
98	nʰ	consonant	alveolar	nasal	voiced	aspirated
