ID	Taxon	Gloss	GlossID	Orthography	IPA	TOKENS	CogID	CLPA_TOKENS	CLPA_IDS
1	Albanian	all	1	gjithë	ɟiθ	ɟ i θ	4	ɟ i θ	609 1076 417
2	English	all	1	all	ɔl	ɔ l	1	ɔ l	916 554
3	French	all	1	tous	tut	t u t	2	t u t	120 868 120
4	German	all	1	alle	al	a l	1	a l	997 554
5	Hawaiian	all	1	apau	apau	a p a u	7	a p a u	997 291 997 868
6	Navajo	all	1	t'áá 'áƚtso	ʔayɬʦo	ʔ ay ɬ ʦ o	5	ʔ ? ɬ ts o	409 ? 540 15 887
7	Turkish	all	1	bütün	bytyn	b y t y n	3	b y t y n	257 1047 120 1047 107
8	Albanian	and	2	e	e	e	-916	e	1089
9	English	and	2	and	and	a n d	915	a n d	997 107 145
10	French	and	2	et	e	e	916	e	1089
11	German	and	2	und	unt	u n t	915	u n t	868 107 120
12	Hawaiian	and	2	ā	aː	aː	919	aː	1004
13	Navajo	and	2	dóó	doː	d oː	918	d oː	145 880
14	Turkish	and	2	ve	ve	v e	-917	v e	451 1089
15	Albanian	animal	3	kafshë	kafʃ	k a f ʃ	-1018	k a f ʃ	838 997 452 683
16	English	animal	3	animal	anəməl	a n ə m ə l	-1016	a n ə m ə l	997 107 1022 241 1022 554
17	French	animal	3	animal	animal	a n i m a l	-1016	a n i m a l	997 107 1076 241 997 554
18	German	animal	3	Tier	tiːr	t iː r	1015	t iː r	120 1068 153
19	Hawaiian	animal	3	holoholona	holoholona	h o l o h o l o n a	1020	h o l o h o l o n a	405 887 554 887 405 887 554 887 107 997
20	Navajo	animal	3	naaldeehii	naːldeːhiː	n aː l d eː h iː	1019	n aː l d eː h iː	107 1004 554 145 1091 405 1068
21	Turkish	animal	3	hayvan	hajvan	h a j v a n	-1017	h a j v a n	405 997 570 451 997 107
22	Albanian	ashes	4	hi	hir	h i r	274	h i r	405 1076 153
23	English	ashes	4	ashes	aʃ	a ʃ	271	a ʃ	997 683
24	French	ashes	4	cendre	sɑ̃dr	s ɑ̃ d r	272	s ɑ̃ d r	89 951 145 153
25	German	ashes	4	Asche	aʃə	a ʃ ə	271	a ʃ ə	997 683 1022
26	Hawaiian	ashes	4	lehu	lehu	l e h u	276	l e h u	554 1089 405 868
27	Navajo	ashes	4	ƚeeshch'ih	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	275	ɬ eː ʃ tʃʼ i h	540 1091 683 652 1076 405
28	Turkish	ashes	4	kül	kyl	k y l	273	k y l	838 1047 554
29	Albanian	at	5	në	nə	n ə	954	n ə	107 1022
30	English	at	5	at	at	a t	952	a t	997 120
31	French	at	5	à	a	a	952	a	997
32	German	at	5	an	an	a n	951	a n	997 107
33	Hawaiian	at	5	ma	ma	m a	956	m a	241 997
34	Navajo	at	5	-di	di	d i	955	d i	145 1076
35	Turkish	at	5	-de	de	d e	953	d e	145 1089
36	Albanian	back	6	shpinë	ʃpin	ʃ p i n	-369	ʃ p i n	683 291 1076 107
37	English	back	6	back	bak	b a k	367	b a k	257 997 838
38	French	back	6	dos	do	d o	366	d o	145 887
39	German	back	6	Rücken	rykən	r y k ə n	365	r y k ə n	153 1047 838 1022 107
40	Hawaiian	back	6	kua	kua	k u a	372	k u a	838 868 997
41	Navajo	back	6	'anághah	nayɣah	n ay ɣ a h	370	n ? ɣ a h	107 ? 780 997 405
42	Turkish	back	6	arka	arka	a r k a	368	a r k a	997 153 838 997
43	Albanian	bad	7	keq	kec	k e c	-281	k e c	838 1089 606
44	English	bad	7	bad	bad	b a d	279	b a d	257 997 145
45	French	bad	7	mauvais	mɔvɛz	m ɔ v ɛ z	278	m ɔ v ɛ z	241 916 451 1121 80
46	German	bad	7	schlecht	ʃlext	ʃ l e x t	277	ʃ l e x t	683 554 1089 778 120
47	Hawaiian	bad	7	`ino	ʔino	ʔ i n o	283	ʔ i n o	409 1076 107 887
48	Navajo	bad	7	doo yá'áshǫ́ǫ da	jayʔayʃõõ	j ay ʔ ay ʃ õ õ	282	j ? ʔ ? ʃ õ õ	570 ? 409 ? 683 883 883
49	Turkish	bad	7	kötü	køty	k ø t y	-280	k ø t y	838 1052 120 1047
50	Albanian	bark	8	shkëlbozë	ʃkəlboz	ʃ k ə l b o z	413	ʃ k ə l b o z	683 838 1022 554 257 887 80
51	English	bark	8	bark	bɑrk	b ɑ r k	-411	b ɑ r k	257 952 153 838
52	French	bark	8	écorce	ekɔrs	e k ɔ r s	410	e k ɔ r s	1089 838 916 153 89
53	German	bark	8	Rinde	rində	r i n d ə	409	r i n d ə	153 1076 107 145 1022
54	Hawaiian	bark	8	`ili	ʔili	ʔ i l i	415	ʔ i l i	409 1076 554 1076
55	Navajo	bark	8	'akásht'óózh	kayʃtˀoːʒ	k ay ʃ tˀ oː ʒ	414	k ? ʃ tʼ oː ʒ	838 ? 683 60 880 685
56	Turkish	bark	8	kabuk	kabuk	k a b u k	412	k a b u k	838 997 257 868 838
57	Albanian	because	9	sepse	sepse	s e p s e	336	s e p s e	89 1089 291 89 1089
58	English	because	9	because	bəkɔz	b ə k ɔ z	-337	b ə k ɔ z	257 1022 838 916 80
59	French	because	9	parce que	pars	p a r s	336	p a r s	291 997 153 89
60	German	because	9	weil	vail	v ai l	335	v ai l	451 1037 554
61	Hawaiian	because	9	ā mea	aːmea	aː m e a	341	aː m e a	1004 241 1089 997
62	Navajo	because	9	háálá	haːlay	h aː l ay	339	h aː l ?	405 1004 554 ?
63	Turkish	because	9	çünkü	ʧynky	ʧ y n k y	338	tʃ y n k y	651 1047 107 838 1047
64	Albanian	belly	10	bark	bark	b a r k	1012	b a r k	257 997 153 838
65	English	belly	10	belly	bɛli	b ɛ l i	1010	b ɛ l i	257 1121 554 1076
66	French	belly	10	ventre	vɑ̃tr	v ɑ̃ t r	1009	v ɑ̃ t r	451 951 120 153
67	German	belly	10	Bauch	baux	b au x	1008	b au x	257 1033 778
68	Hawaiian	belly	10	`ōpū	ʔoːpuː	ʔ oː p uː	1014	ʔ oː p uː	409 880 291 860
69	Navajo	belly	10	'abid	bid	b i d	1013	b i d	257 1076 145
